,adjective,type,url
95,anderer,attributive,https://www.lovelybooks.de/autor/E.O.-Chirovici/Das-Buch-der-Spiegel-1436617158-w/rezension/1473780937/
96,grandios,attributive,https://www.lovelybooks.de/autor/Sebastian-Fitzek/Der-erste-letzte-Tag-2830338081-w/rezension/2983155358/
97,weit,attributive,https://www.lovelybooks.de/autor/Marc--Uwe-Kling-/QualityLand-2-0-QualityLand-2--2575689498-w/rezension/2818713005/
98,anderer,attributive,https://www.lovelybooks.de/autor/Madita-Tietgen/In-Liebe-Amsterdam-23822164222-w/rezension/23917159006/
99,erster,attributive,https://www.lovelybooks.de/autor/Leonie-Lastella/Carry-me-through-the-night-3425494348-w/rezension/4995997081/
100,erster,attributive,https://www.lovelybooks.de/autor/Lilly-Lucas/A-Place-to-Love-3533232530-w/rezension/5483627318/
101,toll,attributive,https://www.lovelybooks.de/autor/Wolf-Richard-Günzel/Der-igelfreundliche-Garten-1328082410-w/rezension/2428971125/
102,gut,predicative,https://www.lovelybooks.de/autor/Holly-Jackson/A-Good-Girl-s-Guide-to-Murder-2039210171-w/rezension/8909791473/
103,klein,attributive,https://www.lovelybooks.de/autor/Laia-Farran-Graves/Little-Book-of-Prada-3474266393-w/rezension/5386699647/
104,toll,attributive,https://www.lovelybooks.de/autor/Laia-Farran-Graves/Little-Book-of-Prada-3474266393-w/rezension/5386699647/
105,nett,attributive,https://www.lovelybooks.de/autor/Simona-Wiles/Der-Sexlor-Erotischer-Roman-2637847525-w/rezension/2817325516/
106,außergewöhnlich,predicative,https://www.lovelybooks.de/autor/Beatrix-Gurian/Alabasterball-Der-Fluch-der-letzten-Küsse-2156075304-w/rezension/2439031508/
107,definitiv,predicative,https://www.lovelybooks.de/autor/Beatrix-Gurian/Alabasterball-Der-Fluch-der-letzten-Küsse-2156075304-w/rezension/2439031508/
108,skurril,attributive,https://www.lovelybooks.de/autor/Beatrix-Gurian/Alabasterball-Der-Fluch-der-letzten-Küsse-2156075304-w/rezension/2439031508/
109,großartig,attributive,https://www.lovelybooks.de/autor/Gamander-López/Moments-in-Nature-12693128504-w/rezension/16097828641/
110,hervorragend,attributive,https://www.lovelybooks.de/autor/Gamander-López/Moments-in-Nature-12693128504-w/rezension/16097828641/
111,großartig,attributive,https://www.lovelybooks.de/autor/Gamander-López/Moments-in-Nature-12693128504-w/rezension/16097828641/
112,ganz,attributive,https://www.lovelybooks.de/autor/Cassandra-Clare/City-of-Glass-1998041520-w/rezension/1022145197/
113,spannend,attributive,https://www.lovelybooks.de/autor/Josie-Lloyd/Mord-in-besserer-Gesellschaft-18655636260-w/rezension/22026515888/
114,richtig,attributive,https://www.lovelybooks.de/autor/Josie-Lloyd/Mord-in-besserer-Gesellschaft-18655636260-w/rezension/22026515888/
115,toll,attributive,https://www.lovelybooks.de/autor/Tina-Herz/Das-Glück-in-allen-Farben-12886671784-w/rezension/18274031051/
116,gut,attributive,https://www.lovelybooks.de/autor/John-Izzo/Die-fünf-Geheimnisse-die-Sie-entdecken-sollten-bevor-Sie-sterben-469134050-w/rezension/984256474/
117,wichtig,attributive,https://www.lovelybooks.de/autor/John-Izzo/Die-fünf-Geheimnisse-die-Sie-entdecken-sollten-bevor-Sie-sterben-469134050-w/rezension/984256474/
118,schön,attributive,https://www.lovelybooks.de/autor/Kate-J.-Armstrong/Nightbirds-Band-1-Der-Kuss-der-Nachtigall-12114718870-w/rezension/15404595128/
119,toll,attributive,https://www.lovelybooks.de/autor/Amanda-Hocking/Entzweit-953320183-w/rezension/990946949/
120,toll,attributive,https://www.lovelybooks.de/autor/Vera-Nentwich/Kick-ins-Leben-1115308154-w/rezension/1115315568/
121,ganz,attributive,https://www.lovelybooks.de/autor/Dorothea-Flechsig/Pünktchen-feiert-Geburtstag-1219361279-w/rezension/1230125501/
122,greifbar,predicative,https://www.lovelybooks.de/autor/Dorothea-Flechsig/Pünktchen-feiert-Geburtstag-1219361279-w/rezension/1230125501/
123,halb,attributive,https://www.lovelybooks.de/autor/Dorothea-Flechsig/Pünktchen-feiert-Geburtstag-1219361279-w/rezension/1230125501/
124,fesselnd,attributive,https://www.lovelybooks.de/autor/Brenda-Rufener/Du-hast-gesagt-wir-sind-zwei-Sterne-2572368869-w/rezension/2817042651/
125,berührend,attributive,https://www.lovelybooks.de/autor/Brenda-Rufener/Du-hast-gesagt-wir-sind-zwei-Sterne-2572368869-w/rezension/2817042651/
126,gerettet,attributive,https://www.lovelybooks.de/autor/Sarah-Beth-Durst/Spellshop-13126414967-w/rezension/16218535363/
127,anderer,attributive,https://www.lovelybooks.de/autor/Sawyer-Bennett/Tacker-Arizona-Vengeance-Team-Teil-5--4892211364-w/rezension/5135006523/
128,letzter,attributive,https://www.lovelybooks.de/autor/Sawyer-Bennett/Tacker-Arizona-Vengeance-Team-Teil-5--4892211364-w/rezension/5135006523/
129,erster,attributive,https://www.lovelybooks.de/autor/Oliver-Polak/Ich-darf-das-ich-bin-Jude-144895410-w/rezension/969975683/
130,schön,attributive,https://www.lovelybooks.de/autor/Ruth-Shaw/Der-Buchladen-am-Ende-der-Welt-9119028190-w/rezension/15983980288/
131,herzergreifend,attributive,https://www.lovelybooks.de/autor/Astrid-Fritz/Die-Hexe-von-Freiburg-138138474-w/rezension/2579784812/
132,schön,attributive,https://www.lovelybooks.de/autor/Ildikó-von-Kürthy/Eine-halbe-Ewigkeit-10138504085-w/rezension/11892877257/
133,gelungen,attributive,https://www.lovelybooks.de/autor/Birk-Grüling/Kosmos-SchlauFUX-Fußball--21675496668-w/rezension/24900726000/
134,unterhaltsam,attributive,https://www.lovelybooks.de/autor/Sarah-Alderson/Die-Bucht-1479737380-w/rezension/1151807072/
135,weit,attributive,https://www.lovelybooks.de/autor/J.-S.-Wonda/Hunting-Angel-3-2231639492-w/rezension/2235319632/
136,gesamt,attributive,https://www.lovelybooks.de/autor/Petra-Schier/Vier-Pfoten-und-das-Weihnachtsglück-1063126854-w/rezension/1071410882/
137,gesamt,attributive,https://www.lovelybooks.de/autor/Petra-Schier/Vier-Pfoten-und-das-Weihnachtsglück-1063126854-w/rezension/1071410882/
138,gesamt,attributive,https://www.lovelybooks.de/autor/Miranda-J.-Fox/Zwei-Brüder-plus-ich-gleich-Chaos-2082972559-w/rezension/2152882218/
139,gelungen,attributive,https://www.lovelybooks.de/autor/Daniel-Glattauer/Gut-gegen-Nordwind-41192959-w/rezension/984399387/
140,gut,attributive,https://www.lovelybooks.de/autor/Daniel-Glattauer/Gut-gegen-Nordwind-41192959-w/rezension/984399387/
141,geheimnisvoll,attributive,https://www.lovelybooks.de/autor/Robyn-Young/Die-Blutschrift-144032800-w/rezension/1878443165/
142,wundervoll,attributive,https://www.lovelybooks.de/autor/Alex-Flinn/Beastly-391196385-w/rezension/973153330/
143,anderer,attributive,https://www.lovelybooks.de/autor/Joost-Jensen/Leichenstarr-an-der-Bar-10968411504-w/rezension/14925946128/
144,vorherig,attributive,https://www.lovelybooks.de/autor/Julia-Quinn/Bridgerton-Hochzeitsglocken-für-Lady-Lucy-294346550-w/rezension/4451196454/
145,toll,attributive,https://www.lovelybooks.de/autor/Kristen-Ciccarelli/Iskari-Der-Sturm-naht-1448976207-w/rezension/1527894184/
146,spannend,attributive,https://www.lovelybooks.de/autor/Virginia-Fox/Rocky-Mountain-Hero-Rocky-Mountain-Serie-25--2631283015-w/rezension/2819294881/
147,emotional,attributive,https://www.lovelybooks.de/autor/Virginia-Fox/Rocky-Mountain-Hero-Rocky-Mountain-Serie-25--2631283015-w/rezension/2819294881/
148,zweiter,attributive,https://www.lovelybooks.de/autor/Francesc-Miralles/Daniel-und-die-Sehnsucht-nach-dem-Glück-423076553-w/rezension/976330195/
149,fantasy,attributive,https://www.lovelybooks.de/autor/Katee-Robert/Neon-Gods-Hades-Persephone-5081657022-w/rezension/7764475113/
150,ganz,attributive,https://www.lovelybooks.de/autor/Katee-Robert/Neon-Gods-Hades-Persephone-5081657022-w/rezension/7764475113/
151,atmosphärisch,attributive,https://www.lovelybooks.de/autor/Delia-Owens/Der-Gesang-der-Flusskrebse-2002421920-w/rezension/2307599881/
152,erfrischend,attributive,https://www.lovelybooks.de/autor/Anja-Janotta/Linkslesemut-oder-Die-Sache-mit-dem-Versiebtlein-1209578117-w/rezension/1230310676/
153,spannend,predicative,https://www.lovelybooks.de/autor/Tabea-S.-Mainberg/Two-Faces-Verbotenes-Verlangen-1656721371-w/rezension/2037086637/
154,spannend,attributive,https://www.lovelybooks.de/autor/Philippe-Collin/Der-Barmann-des-Ritz-18655639060-w/rezension/20901788313/
155,kurzweilig,attributive,https://www.lovelybooks.de/autor/Philippe-Collin/Der-Barmann-des-Ritz-18655639060-w/rezension/20901788313/
156,entstanden,attributive,https://www.lovelybooks.de/autor/Hedwig-Courths--Mahler-/Der-Scheingemahl-291817610-w/rezension/1109369926/
157,wert,predicative,https://www.lovelybooks.de/autor/Julia-Kathrin-Knoll/Sonnengelb-Elfenblüte-Teil-2--1146735238-w/rezension/1152948430/
158,unterhaltsam,attributive,https://www.lovelybooks.de/autor/Gloria-Trutnau/Viele-Träume-führen-ans-Ziel-3496040819-w/rezension/18040301997/
159,alt,predicative,https://www.lovelybooks.de/autor/Theodor-Storm/Aquis-submersus-143879410-w/rezension/3669887307/
160,toll,attributive,https://www.lovelybooks.de/autor/-/Erzähl-mir-Märchen-2478587554-w/rezension/2813759615/
161,gebunden,attributive,https://www.lovelybooks.de/autor/Maggie-Stiefvater/Lamento-Im-Bann-der-Feenkönigin-144186310-w/rezension/968894671/
162,aktuell,attributive,https://www.lovelybooks.de/autor/Sarah-Höflich/Heimatsterben-2936342637-w/rezension/3092038696/
163,spannend,attributive,https://www.lovelybooks.de/autor/Sarah-Höflich/Heimatsterben-2936342637-w/rezension/3092038696/
164,politisch,attributive,https://www.lovelybooks.de/autor/Sarah-Höflich/Heimatsterben-2936342637-w/rezension/3092038696/
165,brandaktuell,attributive,https://www.lovelybooks.de/autor/Sarah-Höflich/Heimatsterben-2936342637-w/rezension/3092038696/
166,übrig,attributive,https://www.lovelybooks.de/autor/-/Schon-Konfuzius-sagte--1348223170-w/rezension/1241416307/
167,weit,attributive,https://www.lovelybooks.de/autor/Julia-Scharlie/Die-Melodie-der-Zuversicht-5219420982-w/rezension/6086105553/
168,interessant,attributive,https://www.lovelybooks.de/autor/M.-G.-Wheaton/Emily-Eternal-2330275001-w/rezension/2700353001/
